Drill Listing
=============
Drill: 0.3  Tool: 1  Feed: 95  Speed: 300
X 87007  Y 94881
X 84645  Y 106299
X 88582  Y 106299
X 92519  Y 106299
X 84645  Y 110236
X 88582  Y 110236
X 92519  Y 110236
X 84645  Y 114173
X 92519  Y 114173
X 88582  Y 114173
X 118110  Y 129921
X 114173  Y 125984
X 110236  Y 122047
X 118110  Y 122047
X 108267  Y 116141
X 96456  Y 114173
X 104330  Y 114173
X 100393  Y 114173
X 108267  Y 112598
X 96456  Y 110236
X 100393  Y 110236
X 104330  Y 110236
X 108267  Y 108267
X 96456  Y 106299
X 100393  Y 106299
X 104330  Y 106299
X 108267  Y 104330
X 114566  Y 72047
X 125984  Y 122047
X 141732  Y 122047
X 122047  Y 125984
X 129921  Y 125984
X 137795  Y 125984
X 125984  Y 129921
X 133858  Y 129921
X 141732  Y 129921
X 152362  Y 144488
X 149606  Y 129921
X 146456  Y 125984
X 149606  Y 122047

Drill: 1  Tool: 2  Feed: 197  Speed: 550
X 25590  Y 55118
X 25590  Y 64960
X 25590  Y 74803
X 66929  Y 102362
X 66929  Y 133858
X 133858  Y 157480
X 86614  Y 149606
X 133858  Y 122047
X 86614  Y 88582

Drill: 1.3  Tool: 3  Feed: 107  Speed: 550
X 19685  Y 108110
X 19685  Y 128110
X 173228  Y 139921
X 173228  Y 119921

Drill: 3.3  Tool: 4  Feed: 35  Speed: 794
X 19685  Y 19685
X 19685  Y 177165
X 177165  Y 177165
X 177165  Y 19685

End of Listing
